,date,dB,something,ping,upload,download,jitter
146,2022-10-12 00:40:01,-30.5,12.6,708.45,4.88,38.37,6.26
147,2022-10-12 00:45:01,-30.8,12.3,705.09,7.67,37.76,6.87
148,2022-10-12 00:50:01,-30.8,12.3,700.82,9.78,38.18,6.77
149,2022-10-12 00:55:01,-30.8,12.2,708.09,6.99,38.36,6.6
150,2022-10-12 01:00:01,-30.7,12.1,690.91,8.13,38.1,6.77
151,2022-10-12 01:05:01,-30.6,12.2,701.27,15.39,38.33,7.37
152,2022-10-12 01:10:01,-30.7,12.2,702.09,2.4,38.3,6.45
153,2022-10-12 01:15:01,-30.6,12.5,700.73,11.11,38.49,4.67
154,2022-10-12 01:20:01,-30.6,12.3,704.91,8.03,38.37,6.75
155,2022-10-12 01:25:01,-30.6,12.3,701.45,16.84,38.16,6.97
156,2022-10-12 01:30:01,-30.6,12.3,708.55,8.77,38.31,6.95
157,2022-10-12 01:35:01,-30.7,12.3,697.82,26.49,37.86,7.12
158,2022-10-12 01:40:02,-30.8,12.0,694.27,12.47,38.18,6.87
159,2022-10-12 01:45:01,-30.7,12.3,701.55,11.27,38.37,6.68
160,2022-10-12 01:50:01,-30.8,12.1,697.73,9.97,38.34,7.1
161,2022-10-12 01:55:01,-30.8,12.1,711.91,2.66,38.43,6.75
162,2022-10-12 02:00:01,-30.8,12.2,686.73,11.94,37.95,6.65
163,2022-10-12 02:05:01,-30.9,12.1,694.0,12.67,38.25,6.75
164,2022-10-12 02:10:01,-30.9,12.3,707.0,9.39,38.48,6.7
165,2022-10-12 02:15:01,-30.9,12.0,693.18,12.73,38.25,6.95
166,2022-10-12 02:20:01,-30.9,12.0,689.64,15.04,38.16,6.58
167,2022-10-12 02:25:01,-30.9,12.1,712.45,2.1,38.48,6.58
168,2022-10-12 02:30:01,-30.9,12.1,689.55,15.61,38.1,7.05
169,2022-10-12 02:35:01,-30.8,12.1,697.64,15.39,38.07,7.02
170,2022-10-12 02:40:01,-30.9,12.2,679.27,12.81,38.33,7.0
171,2022-10-12 02:45:01,-30.8,12.2,682.09,6.81,37.98,7.34
172,2022-10-12 02:50:02,-30.8,12.1,689.45,23.78,38.15,6.35
173,2022-10-12 02:55:01,-30.8,12.0,700.27,12.35,38.31,4.13
174,2022-10-12 07:10:01,-30.4,12.3,708.18,4.71,34.52,3.36
175,2022-10-12 07:15:01,-30.5,12.5,735.18,72.62,38.13,6.58
176,2022-10-12 07:20:01,-30.4,12.3,694.0,27.15,29.97,6.8
177,2022-10-12 07:25:01,-30.5,12.5,697.64,18.54,36.45,6.75
178,2022-10-12 07:30:01,-30.4,12.2,723.73,78.7,26.19,6.21
179,2022-10-12 07:35:01,-30.2,12.6,701.82,11.7,25.48,6.75
180,2022-10-12 07:40:01,-30.5,12.1,704.09,7.24,31.11,7.1
181,2022-10-12 07:45:01,-30.1,12.7,724.45,10.14,26.23,6.3
182,2022-10-12 07:50:01,-30.4,12.4,722.91,64.86,32.54,6.97
183,2022-10-12 07:55:01,-30.3,12.5,709.09,17.29,35.26,2.37
184,2022-10-12 08:00:01,-30.2,12.7,730.73,18.94,32.03,1.38
185,2022-10-12 08:05:01,-30.6,12.6,756.73,130.34,34.41,1.01
186,2022-10-12 08:10:01,-31.1,12.3,781.55,22.93,23.88,5.71
187,2022-10-12 08:15:01,-30.7,12.3,702.09,20.6,35.35,5.42
188,2022-10-12 08:20:01,-30.9,12.3,708.55,32.35,27.74,5.88
189,2022-10-12 08:25:01,-30.8,12.5,703.73,17.59,31.21,6.58
190,2022-10-12 08:30:01,-30.4,12.5,709.55,5.74,31.09,6.9
191,2022-10-12 08:35:01,-30.6,12.4,704.91,16.12,33.7,6.95
192,2022-10-12 08:40:01,-30.7,12.4,701.27,4.88,10.78,6.6
193,2022-10-12 08:45:01,-30.6,12.6,712.91,20.34,31.72,6.35
